"","workerId","chain","generation","level","arrayTraining","encodingCorrected","nounsUser","prepsUser","seenInTraining"
"2286","A29","D",6,1,"[0,2]","rtm","rvtk","sm","true"
"2287","A29","D",6,1,"[1,2]","vts","rvtk","sm","true"
"2288","A29","D",6,1,"[1,[3]]","vmk","rvtk","sm","true"
"2289","A29","D",6,1,"[2,[0]]","smr","rvtk","sm","true"
"2290","A29","D",6,1,"[3,[2]]","kmt","rvtk","sm","true"
"2291","A29","D",6,1,"[2,0]","ttr","rvtk","sm","false"
"2292","A29","D",6,1,"[0,1]","rtv","rvtk","sm","false"
"2293","A29","D",6,1,"[2,[2]]","sms","rvtk","sm","false"
"2294","A29","D",6,1,"[2,2]","sts","rvtk","sm","false"
"2295","A29","D",6,2,"[[1,[2]],0]","vtsmr","rvtk","sm","true"
"2296","A29","D",6,2,"[[3,[2]],1]","kmstv","rvtk","sm","true"
"2297","A29","D",6,2,"[0,[[1,[3]]]]","rmvmk","rvtk","sm","true"
"2298","A29","D",6,2,"[[1,3],2]","vtkts","rvtk","sm","true"
"2299","A29","D",6,2,"[1,[[0,[2]]]]","vmrms","rvtk","sm","true"
"2300","A29","D",6,2,"[1,[3,[0]]]","vtkmr","rvtk","sm","true"
"2301","A29","D",6,2,"[[0,[0]],1]","rmrtv","rvtk","sm","true"
"2302","A29","D",6,2,"[[1,1],[3]]","vtvmk","rvtk","sm","true"
"2303","A29","D",6,2,"[1,[2,[2]]]","vtsms","rvtk","sm","false"
"2304","A29","D",6,2,"[3,[[0,[0]]]]","kmrmr","rvtk","sm","false"
"2305","A29","D",6,2,"[[3,[3]],[2]]","kmkms","rvtk","sm","false"
"2306","A29","D",6,2,"[1,[3,3]]","vtktk","rvtk","sm","false"
"2307","A29","D",6,3,"[0,[[[2,[1]],0]]]","rmstvtr","rvtk","sm","false"
"2308","A29","D",6,3,"[2,[[2,[1,[3]]]]]","smstsmk","rvtk","sm","false"
"2309","A29","D",6,3,"[0,[[0,1],[1]]]","rvrvsms","rvtk","sm","false"
"2310","A29","D",6,3,"[3,[0,[[1,1]]]]","ktrmvtv","rvtk","sm","false"
"2311","A29","D",6,3,"[0,[[3,[2]],[2]]]","rtkmsms","rvtk","sm","false"
"2312","A29","D",6,3,"[[0,[1,2]],[3]]","rtstvmk","rvtk","sm","false"
"2313","A29","D",6,3,"[[[2,[1]],[3]],[2]]","smvmkms","rvtk","sm","false"
"2314","A29","D",6,3,"[3,[[3,[0,[3]]]]]","kmktrmk","rvtk","sm","false"
"2315","A29","D",6,3,"[[0,[2,[0]]],[1]]","rtsmrmv","rvtk","sm","false"
"2316","A29","D",6,3,"[1,[[[0,1],[3]]]]","vmrtvmk","rvtk","sm","false"
"2317","A29","D",6,3,"[[[1,3],1],1]","vtktvtv","rvtk","sm","false"
"2318","A29","D",6,3,"[[[1,1],2],1]","vtvtstv","rvtk","sm","false"
"201","A3","I",5,0,"0","v","vskr","tm","true"
"202","A3","I",5,0,"1","s","vskr","tm","true"
"203","A3","I",5,0,"2","k","vskr","tm","true"
"204","A3","I",5,0,"3","r","vskr","tm","true"
"205","A3","I",5,1,"[1,3]","stt","vskr","tm","true"
"206","A3","I",5,1,"[1,[1]]","vkm","vskr","tm","true"
"207","A3","I",5,1,"[2,3]","trv","vskr","tm","true"
"208","A3","I",5,1,"[0,2]","stm","vskr","tm","true"
"209","A3","I",5,1,"[1,2]","skr","vskr","tm","true"
"210","A3","I",5,1,"[1,[3]]","vsk","vskr","tm","true"
"211","A3","I",5,1,"[2,[0]]","tts","vskr","tm","true"
"212","A3","I",5,1,"[3,[2]]","vtr","vskr","tm","true"
"213","A3","I",5,1,"[2,0]","vvt","vskr","tm","false"
"214","A3","I",5,1,"[0,1]","msk","vskr","tm","false"
"215","A3","I",5,1,"[2,[2]]","ttt","vskr","tm","false"
"216","A3","I",5,1,"[2,2]","tvm","vskr","tm","false"
"217","A3","I",5,2,"[[1,[2]],0]","mrsvk","vskr","tm","true"
"218","A3","I",5,2,"[[3,[2]],1]","vmkrs","vskr","tm","true"
"219","A3","I",5,2,"[0,[[1,[3]]]]","mrvks","vskr","tm","true"
"220","A3","I",5,2,"[[1,3],2]","tvmrk","vskr","tm","true"
"221","A3","I",5,2,"[1,[[0,[2]]]]","tvskm","vskr","tm","true"
"222","A3","I",5,2,"[1,[3,[0]]]","mskrv","vskr","tm","true"
"223","A3","I",5,2,"[[0,[0]],1]","srvms","vskr","tm","true"
"224","A3","I",5,2,"[[1,1],[3]]","vsmkr","vskr","tm","true"
"225","A3","I",5,2,"[1,[2,[2]]]","rsmtt","vskr","tm","false"
"226","A3","I",5,2,"[3,[[0,[0]]]]","vrrmv","vskr","tm","false"
"227","A3","I",5,2,"[[3,[3]],[2]]","tkkrv","vskr","tm","false"
"228","A3","I",5,2,"[1,[3,3]]","mvkrr","vskr","tm","false"
"229","A3","I",5,3,"[0,[[[2,[1]],0]]]","trvrkms","vskr","tm","false"
"230","A3","I",5,3,"[2,[[2,[1,[3]]]]]","ttvkrrs","vskr","tm","false"
"231","A3","I",5,3,"[0,[[0,1],[1]]]","mmrrvkk","vskr","tm","false"
"232","A3","I",5,3,"[3,[0,[[1,1]]]]","srvkmmv","vskr","tm","false"
"233","A3","I",5,3,"[0,[[3,[2]],[2]]]","rvkttms","vskr","tm","false"
"234","A3","I",5,3,"[[0,[1,2]],[3]]","tvsrkms","vskr","tm","false"
"235","A3","I",5,3,"[[[2,[1]],[3]],[2]]","tttvskm","vskr","tm","false"
"236","A3","I",5,3,"[3,[[3,[0,[3]]]]]","vvsktmt","vskr","tm","false"
"237","A3","I",5,3,"[[0,[2,[0]]],[1]]","tvvskmm","vskr","tm","false"
"238","A3","I",5,3,"[1,[[[0,1],[3]]]]","kvrsmvm","vskr","tm","false"
"239","A3","I",5,3,"[[[1,3],1],1]","mmkrvsv","vskr","tm","false"
"240","A3","I",5,3,"[[[1,1],2],1]","vsrrtms","vskr","tm","false"
"2359","A30","E",8,0,"0","s","strm","vk","true"
"2360","A30","E",8,0,"1","t","strm","vk","true"
"2361","A30","E",8,0,"2","r","strm","vk","true"
"2362","A30","E",8,0,"3","m","strm","vk","true"
"2363","A30","E",8,1,"[1,3]","mkk","strm","vk","true"
"2364","A30","E",8,1,"[1,[1]]","ttt","strm","vk","true"
"2365","A30","E",8,1,"[2,3]","mrr","strm","vk","true"
"2366","A30","E",8,1,"[0,2]","svv","strm","vk","true"
"2367","A30","E",8,1,"[1,2]","tvv","strm","vk","true"
"2368","A30","E",8,1,"[1,[3]]","tmm","strm","vk","true"
"2369","A30","E",8,1,"[2,[0]]","kss","strm","vk","true"
"2370","A30","E",8,1,"[3,[2]]","tkk","strm","vk","true"
"2371","A30","E",8,1,"[2,0]","kss","strm","vk","false"
"2372","A30","E",8,1,"[0,1]","svv","strm","vk","false"
"2373","A30","E",8,1,"[2,[2]]","ttt","strm","vk","false"
"2374","A30","E",8,1,"[2,2]","ttr","strm","vk","false"
"2375","A30","E",8,2,"[[1,[2]],0]","tsmmm","strm","vk","true"
"2376","A30","E",8,2,"[[3,[2]],1]","smttt","strm","vk","true"
"2377","A30","E",8,2,"[0,[[1,[3]]]]","tvvvr","strm","vk","true"
"2378","A30","E",8,2,"[[1,3],2]","kvsss","strm","vk","true"
"2379","A30","E",8,2,"[1,[[0,[2]]]]","mkkrs","strm","vk","true"
"2380","A30","E",8,2,"[1,[3,[0]]]","svvrr","strm","vk","true"
"2381","A30","E",8,2,"[[0,[0]],1]","vvtvs","strm","vk","true"
"2382","A30","E",8,2,"[[1,1],[3]]","skkrr","strm","vk","true"
"2383","A30","E",8,2,"[1,[2,[2]]]","vsrrr","strm","vk","false"
"2384","A30","E",8,2,"[3,[[0,[0]]]]","kvvvv","strm","vk","false"
"2385","A30","E",8,2,"[[3,[3]],[2]]","kmmrs","strm","vk","false"
"2386","A30","E",8,2,"[1,[3,3]]","svvtr","strm","vk","false"
"2387","A30","E",8,3,"[0,[[[2,[1]],0]]]","mkksvvs","strm","vk","false"
"2388","A30","E",8,3,"[2,[[2,[1,[3]]]]]","skkrttr","strm","vk","false"
"2389","A30","E",8,3,"[0,[[0,1],[1]]]","krrsvkk","strm","vk","false"
"2390","A30","E",8,3,"[3,[0,[[1,1]]]]","krvvvrr","strm","vk","false"
"2391","A30","E",8,3,"[0,[[3,[2]],[2]]]","kkrskkv","strm","vk","false"
"2392","A30","E",8,3,"[[0,[1,2]],[3]]","kmmkrrr","strm","vk","false"
"2393","A30","E",8,3,"[[[2,[1]],[3]],[2]]","vvtvrrk","strm","vk","false"
"2394","A30","E",8,3,"[3,[[3,[0,[3]]]]]","kkmrrss","strm","vk","false"
"2395","A30","E",8,3,"[[0,[2,[0]]],[1]]","kksvvvt","strm","vk","false"
"2396","A30","E",8,3,"[1,[[[0,1],[3]]]]","kmmmsvv","strm","vk","false"
"2397","A30","E",8,3,"[[[1,3],1],1]","kssvsss","strm","vk","false"
"2398","A30","E",8,3,"[[[1,1],2],1]","ksssvrs","strm","vk","false"
"2439","A31","G",8,0,"0","s","svtk","mr","true"
"2440","A31","G",8,0,"1","v","svtk","mr","true"
"2441","A31","G",8,0,"2","t","svtk","mr","true"
"2442","A31","G",8,0,"3","k","svtk","mr","true"
"2443","A31","G",8,1,"[1,3]","vrk","svtk","mr","true"
"2444","A31","G",8,1,"[1,[1]]","vmv","svtk","mr","true"
"2445","A31","G",8,1,"[2,3]","trk","svtk","mr","true"
"2446","A31","G",8,1,"[0,2]","srt","svtk","mr","true"
"2447","A31","G",8,1,"[1,2]","vrt","svtk","mr","true"
"2448","A31","G",8,1,"[1,[3]]","tmv","svtk","mr","true"
"2449","A31","G",8,1,"[2,[0]]","smt","svtk","mr","true"
"2450","A31","G",8,1,"[3,[2]]","tmk","svtk","mr","true"
"2451","A31","G",8,1,"[2,0]","trv","svtk","mr","false"
"2452","A31","G",8,1,"[0,1]","srv","svtk","mr","false"
"2453","A31","G",8,1,"[2,[2]]","tmt","svtk","mr","false"
"2454","A31","G",8,1,"[2,2]","trt","svtk","mr","false"
"2455","A31","G",8,2,"[[1,[2]],0]","tmvrs","svtk","mr","true"
"2456","A31","G",8,2,"[[3,[2]],1]","tmkrv","svtk","mr","true"
"2457","A31","G",8,2,"[0,[[1,[3]]]]","kmvms","svtk","mr","true"
"2458","A31","G",8,2,"[[1,3],2]","vrkrt","svtk","mr","true"
"2459","A31","G",8,2,"[1,[[0,[2]]]]","tmsmv","svtk","mr","true"
"2460","A31","G",8,2,"[1,[3,[0]]]","vrsmk","svtk","mr","true"
"2461","A31","G",8,2,"[[0,[0]],1]","smsrv","svtk","mr","true"
"2462","A31","G",8,2,"[[1,1],[3]]","kmvrv","svtk","mr","true"
"2463","A31","G",8,2,"[1,[2,[2]]]","vrtmt","svtk","mr","false"
"2464","A31","G",8,2,"[3,[[0,[0]]]]","smsmk","svtk","mr","false"
"2465","A31","G",8,2,"[[3,[3]],[2]]","tmkmk","svtk","mr","false"
"2466","A31","G",8,2,"[1,[3,3]]","vrkrk","svtk","mr","false"
"2467","A31","G",8,3,"[0,[[[2,[1]],0]]]","vmtrsms","svtk","mr","false"
"2468","A31","G",8,3,"[2,[[2,[1,[3]]]]]","tmtrkmv","svtk","mr","false"
"2469","A31","G",8,3,"[0,[[0,1],[1]]]","srvmsrv","svtk","mr","false"
"2470","A31","G",8,3,"[3,[0,[[1,1]]]]","krvrvms","svtk","mr","false"
"2471","A31","G",8,3,"[0,[[3,[2]],[2]]]","srtmtmk","svtk","mr","false"
"2472","A31","G",8,3,"[[0,[1,2]],[3]]","kmsrvrt","svtk","mr","false"
"2473","A31","G",8,3,"[[[2,[1]],[3]],[2]]","tmkmvmt","svtk","mr","false"
"2474","A31","G",8,3,"[3,[[3,[0,[3]]]]]","krkmsmk","svtk","mr","false"
"2475","A31","G",8,3,"[[0,[2,[0]]],[1]]","vmsrsmt","svtk","mr","false"
"2476","A31","G",8,3,"[1,[[[0,1],[3]]]]","kmsrvmv","svtk","mr","false"
"2477","A31","G",8,3,"[[[1,3],1],1]","vrkrvrv","svtk","mr","false"
"2478","A31","G",8,3,"[[[1,1],2],1]","vrvrtrv","svtk","mr","false"
"2519","A32","I",9,0,"0","t","tkrs","vm","true"
"2520","A32","I",9,0,"1","k","tkrs","vm","true"
"2521","A32","I",9,0,"2","r","tkrs","vm","true"
"2522","A32","I",9,0,"3","s","tkrs","vm","true"
"2523","A32","I",9,1,"[1,3]","tsk","tkrs","vm","true"
"2524","A32","I",9,1,"[1,[1]]","kkm","tkrs","vm","true"
"2525","A32","I",9,1,"[2,3]","rsm","tkrs","vm","true"
"2526","A32","I",9,1,"[0,2]","trm","tkrs","vm","true"
"2527","A32","I",9,1,"[1,2]","krm","tkrs","vm","true"
"2528","A32","I",9,1,"[1,[3]]","kst","tkrs","vm","true"
"2529","A32","I",9,1,"[2,[0]]","trm","tkrs","vm","true"
"2530","A32","I",9,1,"[3,[2]]","srv","tkrs","vm","true"
"2531","A32","I",9,1,"[2,0]","rtm","tkrs","vm","false"
"2532","A32","I",9,1,"[0,1]","tkm","tkrs","vm","false"
"2533","A32","I",9,1,"[2,[2]]","rrv","tkrs","vm","false"
"2534","A32","I",9,1,"[2,2]","rrm","tkrs","vm","false"
"2535","A32","I",9,2,"[[1,[2]],0]","rktvs","tkrs","vm","true"
"2536","A32","I",9,2,"[[3,[2]],1]","rskvm","tkrs","vm","true"
"2537","A32","I",9,2,"[0,[[1,[3]]]]","tkssm","tkrs","vm","true"
"2538","A32","I",9,2,"[[1,3],2]","ksrms","tkrs","vm","true"
"2539","A32","I",9,2,"[1,[[0,[2]]]]","ktrtt","tkrs","vm","true"
"2540","A32","I",9,2,"[1,[3,[0]]]","kstvr","tkrs","vm","true"
"2541","A32","I",9,2,"[[0,[0]],1]","ttkrm","tkrs","vm","true"
"2542","A32","I",9,2,"[[1,1],[3]]","kksmr","tkrs","vm","true"
"2543","A32","I",9,2,"[1,[2,[2]]]","krrts","tkrs","vm","false"
"2544","A32","I",9,2,"[3,[[0,[0]]]]","sttrm","tkrs","vm","false"
"2545","A32","I",9,2,"[[3,[3]],[2]]","ssrtm","tkrs","vm","false"
"2546","A32","I",9,2,"[1,[3,3]]","kssmr","tkrs","vm","false"
"2547","A32","I",9,3,"[0,[[[2,[1]],0]]]","krttmrs","tkrs","vm","false"
"2548","A32","I",9,3,"[2,[[2,[1,[3]]]]]","rrksvmr","tkrs","vm","false"
"2549","A32","I",9,3,"[0,[[0,1],[1]]]","ttkkmrs","tkrs","vm","false"
"2550","A32","I",9,3,"[3,[0,[[1,1]]]]","rstkkmr","tkrs","vm","false"
"2551","A32","I",9,3,"[0,[[3,[2]],[2]]]","tsrrvmr","tkrs","vm","false"
"2552","A32","I",9,3,"[[0,[1,2]],[3]]","tkrsvrm","tkrs","vm","false"
"2553","A32","I",9,3,"[[[2,[1]],[3]],[2]]","rskrmtr","tkrs","vm","false"
"2554","A32","I",9,3,"[3,[[3,[0,[3]]]]]","sststmr","tkrs","vm","false"
"2555","A32","I",9,3,"[[0,[2,[0]]],[1]]","tkrtmrv","tkrs","vm","false"
"2556","A32","I",9,3,"[1,[[[0,1],[3]]]]","ktkssmr","tkrs","vm","false"
"2557","A32","I",9,3,"[[[1,3],1],1]","krkktmr","tkrs","vm","false"
"2558","A32","I",9,3,"[[[1,1],2],1]","kkrkvrm","tkrs","vm","false"
"2599","A33","D",3,0,"0","r","rksv","tm","true"
"2600","A33","D",3,0,"1","k","rksv","tm","true"
"2601","A33","D",3,0,"2","s","rksv","tm","true"
"2602","A33","D",3,0,"3","v","rksv","tm","true"
"2603","A33","D",3,1,"[1,3]","kvt","rksv","tm","true"
"2604","A33","D",3,1,"[1,[1]]","kmk","rksv","tm","true"
"2605","A33","D",3,1,"[2,3]","stv","rksv","tm","true"
"2606","A33","D",3,1,"[0,2]","rts","rksv","tm","true"
"2607","A33","D",3,1,"[1,2]","kts","rksv","tm","true"
"2608","A33","D",3,1,"[1,[3]]","kmv","rksv","tm","true"
"2609","A33","D",3,1,"[2,[0]]","smr","rksv","tm","true"
"2610","A33","D",3,1,"[3,[2]]","vms","rksv","tm","true"
"2611","A33","D",3,1,"[2,0]","str","rksv","tm","false"
"2612","A33","D",3,1,"[0,1]","rtk","rksv","tm","false"
"2613","A33","D",3,1,"[2,[2]]","sms","rksv","tm","false"
"2614","A33","D",3,1,"[2,2]","sts","rksv","tm","false"
"2615","A33","D",3,2,"[[1,[2]],0]","ktstr","rksv","tm","true"
"2616","A33","D",3,2,"[[3,[2]],1]","vmstk","rksv","tm","true"
"2617","A33","D",3,2,"[0,[[1,[3]]]]","rmkmv","rksv","tm","true"
"2618","A33","D",3,2,"[[1,3],2]","ktvts","rksv","tm","true"
"2619","A33","D",3,2,"[1,[[0,[2]]]]","kmrms","rksv","tm","true"
"2620","A33","D",3,2,"[1,[3,[0]]]","ktvmr","rksv","tm","true"
"2621","A33","D",3,2,"[[0,[0]],1]","rmrtk","rksv","tm","true"
"2622","A33","D",3,2,"[[1,1],[3]]","ktkmv","rksv","tm","true"
"2623","A33","D",3,2,"[1,[2,[2]]]","ktsms","rksv","tm","false"
"2624","A33","D",3,2,"[3,[[0,[0]]]]","vmrmr","rksv","tm","false"
"2625","A33","D",3,2,"[[3,[3]],[2]]","vmvms","rksv","tm","false"
"2626","A33","D",3,2,"[1,[3,3]]","ktvtv","rksv","tm","false"
"2627","A33","D",3,3,"[0,[[[2,[1]],0]]]","rrtsmkm","rksv","tm","false"
"2628","A33","D",3,3,"[2,[[2,[1,[3]]]]]","smstkmv","rksv","tm","false"
"2629","A33","D",3,3,"[0,[[0,1],[1]]]","rtrkmkt","rksv","tm","false"
"2630","A33","D",3,3,"[3,[0,[[1,1]]]]","vtrmktk","rksv","tm","false"
"2631","A33","D",3,3,"[0,[[3,[2]],[2]]]","rtvmsms","rksv","tm","false"
"2632","A33","D",3,3,"[[0,[1,2]],[3]]","rtktsmv","rksv","tm","false"
"2633","A33","D",3,3,"[[[2,[1]],[3]],[2]]","smkmvms","rksv","tm","false"
"2634","A33","D",3,3,"[3,[[3,[0,[3]]]]]","vmvtrmv","rksv","tm","false"
"2635","A33","D",3,3,"[[0,[2,[0]]],[1]]","rtsmrmk","rksv","tm","false"
"2636","A33","D",3,3,"[1,[[[0,1],[3]]]]","kmrtkmv","rksv","tm","false"
"2637","A33","D",3,3,"[[[1,3],1],1]","ktvtktk","rksv","tm","false"
"2638","A33","D",3,3,"[[[1,1],2],1]","ktktstk","rksv","tm","false"
"2679","A34","B",8,0,"0","t","tvsk","mr","true"
"2680","A34","B",8,0,"1","v","tvsk","mr","true"
"2681","A34","B",8,0,"2","s","tvsk","mr","true"
"2682","A34","B",8,0,"3","k","tvsk","mr","true"
"2683","A34","B",8,1,"[1,3]","vrk","tvsk","mr","true"
"2684","A34","B",8,1,"[1,[1]]","vrv","tvsk","mr","true"
"2685","A34","B",8,1,"[2,3]","srk","tvsk","mr","true"
"2686","A34","B",8,1,"[0,2]","vrs","tvsk","mr","true"
"2687","A34","B",8,1,"[1,2]","vrs","tvsk","mr","true"
"2688","A34","B",8,1,"[1,[3]]","vmk","tvsk","mr","true"
"2689","A34","B",8,1,"[2,[0]]","srt","tvsk","mr","true"
"2690","A34","B",8,1,"[3,[2]]","krs","tvsk","mr","true"
"2691","A34","B",8,1,"[2,0]","srt","tvsk","mr","false"
"2692","A34","B",8,1,"[0,1]","trv","tvsk","mr","false"
"2693","A34","B",8,1,"[2,[2]]","sms","tvsk","mr","false"
"2694","A34","B",8,1,"[2,2]","srs","tvsk","mr","false"
"2695","A34","B",8,2,"[[1,[2]],0]","vksrt","tvsk","mr","true"
"2696","A34","B",8,2,"[[3,[2]],1]","krsmv","tvsk","mr","true"
"2697","A34","B",8,2,"[0,[[1,[3]]]]","trvrk","tvsk","mr","true"
"2698","A34","B",8,2,"[[1,3],2]","vrkrs","tvsk","mr","true"
"2699","A34","B",8,2,"[1,[[0,[2]]]]","vmtrs","tvsk","mr","true"
"2700","A34","B",8,2,"[1,[3,[0]]]","vrkmt","tvsk","mr","true"
"2701","A34","B",8,2,"[[0,[0]],1]","trtmv","tvsk","mr","true"
"2702","A34","B",8,2,"[[1,1],[3]]","vrvtk","tvsk","mr","true"
"2703","A34","B",8,2,"[1,[2,[2]]]","vrsms","tvsk","mr","false"
"2704","A34","B",8,2,"[3,[[0,[0]]]]","kmtmt","tvsk","mr","false"
"2705","A34","B",8,2,"[[3,[3]],[2]]","kmkms","tvsk","mr","false"
"2706","A34","B",8,2,"[1,[3,3]]","vrkrk","tvsk","mr","false"
"2707","A34","B",8,3,"[0,[[[2,[1]],0]]]","tmsmvrt","tvsk","mr","false"
"2708","A34","B",8,3,"[2,[[2,[1,[3]]]]]","smsrvmk","tvsk","mr","false"
"2709","A34","B",8,3,"[0,[[0,1],[1]]]","trtrvmv","tvsk","mr","false"
"2710","A34","B",8,3,"[3,[0,[[1,1]]]]","krtmvrv","tvsk","mr","false"
"2711","A34","B",8,3,"[0,[[3,[2]],[2]]]","trkmsms","tvsk","mr","false"
"2712","A34","B",8,3,"[[0,[1,2]],[3]]","trvrskr","tvsk","mr","false"
"2713","A34","B",8,3,"[[[2,[1]],[3]],[2]]","smvmkms","tvsk","mr","false"
"2714","A34","B",8,3,"[3,[[3,[0,[3]]]]]","kmkrtmk","tvsk","mr","false"
"2715","A34","B",8,3,"[[0,[2,[0]]],[1]]","trsmtmv","tvsk","mr","false"
"2716","A34","B",8,3,"[1,[[[0,1],[3]]]]","vmtrvmk","tvsk","mr","false"
"2717","A34","B",8,3,"[[[1,3],1],1]","vrkvrvr","tvsk","mr","false"
"2718","A34","B",8,3,"[[[1,1],2],1]","vrvrsrv","tvsk","mr","false"
"2759","A35","E",2,0,"0","k","kvsm","tr","true"
"2760","A35","E",2,0,"1","v","kvsm","tr","true"
"2761","A35","E",2,0,"2","s","kvsm","tr","true"
"2762","A35","E",2,0,"3","m","kvsm","tr","true"
"2763","A35","E",2,1,"[1,3]","vst","kvsm","tr","true"
"2764","A35","E",2,1,"[1,[1]]","vvk","kvsm","tr","true"
"2765","A35","E",2,1,"[2,3]","smk","kvsm","tr","true"
"2766","A35","E",2,1,"[0,2]","ksr","kvsm","tr","true"
"2767","A35","E",2,1,"[1,2]","vsk","kvsm","tr","true"
"2768","A35","E",2,1,"[1,[3]]","vsm","kvsm","tr","true"
"2769","A35","E",2,1,"[2,[0]]","stk","kvsm","tr","true"
"2770","A35","E",2,1,"[3,[2]]","mts","kvsm","tr","true"
"2771","A35","E",2,1,"[2,0]","srk","kvsm","tr","false"
"2772","A35","E",2,1,"[0,1]","ksv","kvsm","tr","false"
"2773","A35","E",2,1,"[2,[2]]","sts","kvsm","tr","false"
"2774","A35","E",2,1,"[2,2]","sks","kvsm","tr","false"
"2775","A35","E",2,2,"[[1,[2]],0]","vsrkm","kvsm","tr","true"
"2776","A35","E",2,2,"[[3,[2]],1]","msrvv","kvsm","tr","true"
"2777","A35","E",2,2,"[0,[[1,[3]]]]","ksvmr","kvsm","tr","true"
"2778","A35","E",2,2,"[[1,3],2]","vtmks","kvsm","tr","true"
"2779","A35","E",2,2,"[1,[[0,[2]]]]","vktsm","kvsm","tr","true"
"2780","A35","E",2,2,"[1,[3,[0]]]","vmkrk","kvsm","tr","true"
"2781","A35","E",2,2,"[[0,[0]],1]","ktkvv","kvsm","tr","true"
"2782","A35","E",2,2,"[[1,1],[3]]","vvmrs","kvsm","tr","true"
"2783","A35","E",2,2,"[1,[2,[2]]]","vstmk","kvsm","tr","false"
"2784","A35","E",2,2,"[3,[[0,[0]]]]","mkskr","kvsm","tr","false"
"2785","A35","E",2,2,"[[3,[3]],[2]]","mkrst","kvsm","tr","false"
"2786","A35","E",2,2,"[1,[3,3]]","vmkrm","kvsm","tr","false"
"2787","A35","E",2,3,"[0,[[[2,[1]],0]]]","krsvkkm","kvsm","tr","false"
"2788","A35","E",2,3,"[2,[[2,[1,[3]]]]]","tsrsvkm","kvsm","tr","false"
"2789","A35","E",2,3,"[0,[[0,1],[1]]]","kskvvmv","kvsm","tr","false"
"2790","A35","E",2,3,"[3,[0,[[1,1]]]]","mrksvvt","kvsm","tr","false"
"2791","A35","E",2,3,"[0,[[3,[2]],[2]]]","kstvmks","kvsm","tr","false"
"2792","A35","E",2,3,"[[0,[1,2]],[3]]","kvmrstm","kvsm","tr","false"
"2793","A35","E",2,3,"[[[2,[1]],[3]],[2]]","svtmrss","kvsm","tr","false"
"2794","A35","E",2,3,"[3,[[3,[0,[3]]]]]","mrksvmr","kvsm","tr","false"
"2795","A35","E",2,3,"[[0,[2,[0]]],[1]]","kskvmvv","kvsm","tr","false"
"2796","A35","E",2,3,"[1,[[[0,1],[3]]]]","vvksvmr","kvsm","tr","false"
"2797","A35","E",2,3,"[[[1,3],1],1]","vmkvsvv","kvsm","tr","false"
"2798","A35","E",2,3,"[[[1,1],2],1]","vmvvsvr","kvsm","tr","false"
"2839","A36","I",6,0,"0","v","vskr","tm","true"
"2840","A36","I",6,0,"1","s","vskr","tm","true"
"2841","A36","I",6,0,"2","k","vskr","tm","true"
"2842","A36","I",6,0,"3","r","vskr","tm","true"
"2843","A36","I",6,1,"[1,3]","tsr","vskr","tm","true"
"2844","A36","I",6,1,"[1,[1]]","tsm","vskr","tm","true"
"2845","A36","I",6,1,"[2,3]","tsr","vskr","tm","true"
"2846","A36","I",6,1,"[0,2]","tvs","vskr","tm","true"
"2847","A36","I",6,1,"[1,2]","tsk","vskr","tm","true"
"2848","A36","I",6,1,"[1,[3]]","tsr","vskr","tm","true"
"2849","A36","I",6,1,"[2,[0]]","tkv","vskr","tm","true"
"2850","A36","I",6,1,"[3,[2]]","trk","vskr","tm","true"
"2851","A36","I",6,1,"[2,0]","mkv","vskr","tm","false"
"2852","A36","I",6,1,"[0,1]","tsv","vskr","tm","false"
"2853","A36","I",6,1,"[2,[2]]","tmk","vskr","tm","false"
"2854","A36","I",6,1,"[2,2]","mvt","vskr","tm","false"
"2855","A36","I",6,2,"[[1,[2]],0]","msvtr","vskr","tm","true"
"2856","A36","I",6,2,"[[3,[2]],1]","mstkt","vskr","tm","true"
"2857","A36","I",6,2,"[0,[[1,[3]]]]","ttrkv","vskr","tm","true"
"2858","A36","I",6,2,"[[1,3],2]","mskrt","vskr","tm","true"
"2859","A36","I",6,2,"[1,[[0,[2]]]]","tvksm","vskr","tm","true"
"2860","A36","I",6,2,"[1,[3,[0]]]","tvrsm","vskr","tm","true"
"2861","A36","I",6,2,"[[0,[0]],1]","ttvsm","vskr","tm","true"
"2862","A36","I",6,2,"[[1,1],[3]]","tmsrt","vskr","tm","true"
"2863","A36","I",6,2,"[1,[2,[2]]]","tkmst","vskr","tm","false"
"2864","A36","I",6,2,"[3,[[0,[0]]]]","tmvtr","vskr","tm","false"
"2865","A36","I",6,2,"[[3,[3]],[2]]","tmrtk","vskr","tm","false"
"2866","A36","I",6,2,"[1,[3,3]]","mstrm","vskr","tm","false"
"2867","A36","I",6,3,"[0,[[[2,[1]],0]]]","tmvtksm","vskr","tm","false"
"2868","A36","I",6,3,"[2,[[2,[1,[3]]]]]","tmktsrm","vskr","tm","false"
"2869","A36","I",6,3,"[0,[[0,1],[1]]]","tmvtsmv","vskr","tm","false"
"2870","A36","I",6,3,"[3,[0,[[1,1]]]]","trtvmst","vskr","tm","false"
"2871","A36","I",6,3,"[0,[[3,[2]],[2]]]","tmvtrtk","vskr","tm","false"
"2872","A36","I",6,3,"[[0,[1,2]],[3]]","tmrtvsk","vskr","tm","false"
"2873","A36","I",6,3,"[[[2,[1]],[3]],[2]]","tktrtsm","vskr","tm","false"
